Name,Address,City,State,ZIP_Code,URL,Phone
"Anchorage ReStore, HFH",1200 W. Northern Lights Blvd,Anchorage,US-AK,99503,www.habitatanchorage.org/restore,(907) 743-8060
Wiregrass HFH ReStore,2086 Montgomery Highway,Dothan,US-AL,36303,www.wiregrasshabitat.org/restore,(334) 699-1570
"Troup County ReStore, HFH",333 Main St,LaGrange,US-GA,30240,www.HfhTroup.org,(706) 416-6332
Newnan-Coweta HFH ReStore,216 Bullsboro Drive,Newnan,US-GA,30263,www.nchfh.org,(770) 252-4061
Alabama ReStore,3831 Pepperell Pkwy,Opelika,US-AL,36801,www.alabamarestore.com,(334) 737-6400
"Birmingham HFH ReStore, Greater",7952 Crestwood Blvd,Birmingham,US-AL,35210,www.habitatbirmingham.org,(205) 951-1234
Show Me Central HFH ReStore,1305 Businees Loop 70 East,Columbia,US-MO,35201,www.showmehabitat.org,(573) 499-1202
"Coosa Valley ReStore, HFH",95 Three Rivers Drive,Rome,US-GA,30161,www.habitatcoosavalley.org,(706) 378-5957
"Tuscaloosa ReStore, HFH of",1120 35th St Ste B,Tuscaloosa,US-AL,35401,www.tuscaloosarestore.org,(205) 349-4620
Columbus-Lowndes HFH ReStore,1110 Gardner Blvd.,Columbus,US-MS,39702,https://columbushabitat.org,(662) 329-2501
Montgomery HFH ReStore,2216 E South Blvd,Montgomery,US-AL,36116,www.habitatmontgomery.com,(334) 281-0880
"Morgan County ReStore, HFH of",1123 Central Pkwy SW,Decatur,US-AL,35601,morganhabitat.org/restore,(256) 308-1160
Starkville HFH ReStore,206 S Jackson St,Starkville,US-MS,39759,www.starkvillehabitat.com,(662) 324-7008
"Madison County ReStore, HFH of",400 Pratt Ave NW,Huntsville,US-AL,35801,www.habitatmadisonco.org/restore,(256) 533-2282
Shoals HFH ReStore,1120 N Royal Ave,Florence,US-AL,35630,https://www.shoalshabitat.org,(256) 764-4494
Williamson County HFH ReStore,1725 Columbia Ave Ste 110,Franklin,US-TN,37064,www.hfhwm.org/restore,(615) 690-8094
Escambia Co HFH ReStore,1606 Douglas Ave,Brewton,US-AL,36426,www.escambiahfh.org,251-867-5659
Rutherford County Area HFH ReStore,850 Mercury Blvd,Murfreesboro,US-TN,37130,rchfh.org/restore.php,(615) 849-5994
"Chattanooga ReStore, HFH of Greater",1201 E Main St,Chattanooga,US-TN,37408-1613,www.habichatt.org/restore,(423) 634-1004
"Gordon County ReStore, HFH of",809 Oothcoologa St,Calhoun,US-GA,30701,gordonhabitat.org/Restore.html,(706) 625-9929
Dalton/Whitfield HFH ReStore,111 N Glenwood Ave,Dalton,US-GA,30721,www.habitatdwm.org,(706) 272-3336
"Pine Belt ReStore, HFH of the",5191 Old Hwy 42,Hattiesburg,US-MS,39402,www.hattiesburghabitat.org/Restore,(601) 582-4663
"Baldwin County (Daphne) ReStore, HFH of",27900 N Main St,Daphne,US-AL,36526,baldwinhabitat.org/restore,(251) 410-8080
Dickson ReStore,223 Dickson Plz Dr,Dickson,US-TN,37055,www.habitatnashville.org/restore,615-446-4385
"Nashville ReStore 2, HFH of Gtr",414 Harding Place,Nashville,US-TN,37211,www.habitatnashville.org/homestore,(615) 942-1292
Rutherford County Area HFH ReStore - Smyrna,413 Nissan Blvd.,Smyrna,US-TN,37167,www.rchfh.org/restore,(615) 625-3427
"Carroll County ReStore, HFH of",20765 E Main St,Huntingdon,US-TN,38344,cchabitat2007.homestead.com/restore.html,(731) 986-5900
"Jackson, TN, Area ReStore",1668 N Pkwy,Jackson,US-TN,38301,www.jacksonhabitat.com/restore,(731) 427-6540
"Chattanooga ReStore Ooltewah, HFH of Greater",9408 Apison Pike,Ooltewah,US-TN,37363,www.ooltewahrestore.com,(423) 634-1004
Memphis ReStore,7130 Winchester Rd,Memphis,US-TN,38125,www.MemphisReStore.com,(901) 737-8673
"Cleveland ReStore, HFH of",300 Grove Ave,Cleveland,US-TN,37311,habitatofcleveland.org/restore,(423) 473-4610
Pensacola HFH ReStore,6931 N 9th Ave,Pensacola,US-FL,32504,pensacolarestore.com,(850) 476-0001
"Smyrna, Habitat For Humanity ReStore","3315 S Cobb Dr, Ste 150",Smyrna,US-GA,30080,www.suburbanatlantarestores.org,(770) 415-1625
Atlanta HFH ReStore,271 Chester Ave. SE,Atlanta,US-GA,30316,www.atlantahabitat.org/restore,(404) 525-2114
Flint River HFH ReStore,2815 Old Dawson road,Albany,US-GA,31707,www.flintriverhabitat.org,(229) 446-8199
Arkansas Valley HFH Restore,421 Towson Ave,Fort Smith,US-AR,72901,www.habitatfs.org/index.php?page=restore,(479) 783-2766
Garland County HFH ReStore - Lake Hamilton,2817 Airport Road,Hot Springs,US-AR,71913,www.garlandcountyhabitat.com,(501) 767-4483
Garland County HFH ReStore Hot Springs Valley,3825 North Highway 7,Hot Springs Village,US-AR,71909,www.garlandcountyhabitat.com,(501) 624-3333
Washington Co. AR Habitat ReStore,1421 E 15th St,Fayetteville,US-AR,72701,https://www.habitatwashingtoncoar.org/shop-at-restore,(479) 582-2076
Garland County HFH ReStore,350 Malvern Ave,Hot Springs,US-AR,71901,www.garlandcountyhabitat.com,(501) 321-4241
Tahlequah Area HFH ReStore Rack,12 Plaza South St,Tahlequah,US-OK,74464,tahlequahhabitat.org/restores/restorerack.html,(918) 453-0466
Tahlequah Habitat ReStore,198 W First,Tahlequah,US-OK,74464,www.tahlequahhabitat.org,(918) 453-2720
"Benton County ReStore, HFH of",1212 North Walton Blvd.,Bentonville,US-AR,72712,www.habitatbentoncountyar.org/restore,(479) 273-3638
"Saline County ReStore, AR, HFH of",124 S Mkt St,Benton,US-AR,72015,https://www.habitatsalinecounty.com,(501) 315-0011
"Central Arkansas ReStore- Little Rock, HFH of",6700 S University,Little Rock,US-AR,72209,https://www.habitatcentralar.org,(501) 771-9494
"Central Arkansas ReStore- Cabot, HFH of",1900 S Pine St,Cabot,US-AR,72023,habitatcentralar.org,(501) 286-6122
"White County ReStore, AR; HFH of",1315 W Beebe Capps Expy,Searcy,US-AR,72143,www.habitatwhiteco.org,(501) 278-5530
"Central Arkansas ReStore, HFH of",2657 Pike Ave,North Little Rock,US-AR,72114,https://www.habitatcentralar.org,(501) 771-9497
"Jonesboro, HFH of Greater ReStore",3610 E. Highland Rd.,Jonesboro,US-AR,72401,https://www.jonesborohabitat.com/restore,(870) 336-0462
"Howell County ReStore, HFH of",1109 Porter Wagoner Blvd,West Plains,US-MO,65775,howellcountyhabitat.org,(417) 256-1576
"Cape Area ReStore, HFH",2365 Rust Ave,Cape Girardeau,US-MO,63701,capeareahabitat.org/restore/index.php,(573) 651-9080
"South Barry Co ReStore, HFH of",900 10th St.,Cassville,US-MO,65625,local.habitat.org/ucbhfh,(417) 846-0110
"Claremore ReStore 1, HFH",202 N Owalla,Claremore,US-OK,74017,www.habitatclaremore.org,(918) 845-9888
"Springfield ReStore, HFH of",2410 S Scenic Ave,Springfield,US-MO,65807,www.habitatspringfieldmo.org/restore,(417) 829-4001
